class,cap-shape,cap-color,gill-color,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,y,w,p,w,o,p,k,n,m
e,x,w,n,p,w,o,p,n,n,g
e,x,y,k,p,w,o,p,k,s,m
e,x,w,w,p,w,o,p,n,n,m
e,x,y,n,p,w,o,p,n,s,p
e,f,y,w,p,w,o,p,k,s,p
e,x,n,w,p,w,o,p,k,s,g
e,x,w,k,p,w,o,p,k,s,g
e,b,w,k,p,w,o,p,n,n,m
p,x,n,k,p,w,o,p,n,v,u
p,x,w,k,p,w,o,p,k,v,u
e,b,y,w,p,w,o,p,k,s,m
e,f,g,n,p,w,o,e,n,a,g
e,b,w,w,p,w,o,p,n,n,g
e,x,y,k,p,w,o,p,k,n,g
e,x,n,p,p,w,o,p,k,y,p
e,s,g,k,p,w,o,p,n,v,u
e,b,y,k,p,w,o,p,n,s,m
e,b,y,g,p,w,o,p,n,s,m
e,b,y,g,p,w,o,p,n,n,m
e,b,w,n,p,w,o,p,n,s,g
e,f,n,k,p,w,o,e,k,a,g
e,x,w,n,p,w,o,p,k,s,g
e,f,y,w,p,w,o,p,n,s,g
e,x,y,w,p,w,o,p,k,n,g
e,x,g,p,p,w,o,p,n,v,u
e,f,y,p,p,w,o,p,n,v,d
e,b,w,g,p,w,o,p,n,s,m
e,f,y,w,p,w,o,p,n,v,d
e,x,n,p,p,w,o,p,k,s,p
e,b,y,k,p,w,o,p,k,s,g
e,f,y,p,p,w,o,p,n,v,d
e,x,w,n,p,w,o,p,u,v,d
e,f,n,p,p,w,o,p,n,y,p
p,x,n,w,p,w,o,p,n,v,u
e,f,n,n,p,w,o,p,n,y,g
e,x,n,k,p,w,o,e,n,s,g
p,x,w,w,p,w,o,p,k,s,g
e,f,g,n,p,w,o,p,n,y,u
e,x,g,n,p,w,o,e,n,s,g
e,x,y,w,p,w,o,p,k,s,g
e,x,n,k,p,w,o,e,k,s,g
e,b,w,w,p,w,o,p,k,s,g
e,x,w,n,p,w,o,p,n,s,g
e,f,n,w,p,w,o,p,k,y,g
e,s,n,n,p,w,o,p,n,v,u
e,x,n,n,p,w,o,p,n,y,u
e,b,w,k,p,w,o,p,k,s,g
e,x,y,g,p,w,o,p,k,s,g
e,x,y,g,p,w,o,p,k,n,m
e,x,n,n,p,w,o,e,n,a,g
e,x,w,g,p,w,o,p,n,s,g
e,f,n,p,p,w,o,p,n,s,g
e,x,y,n,p,w,o,p,k,n,g
e,b,w,g,p,w,o,p,n,s,g
e,x,w,g,p,w,o,p,k,s,g
e,x,n,p,p,w,o,e,k,s,g
e,b,y,n,p,w,o,p,k,n,g
e,f,y,w,p,w,o,p,n,s,g
e,x,y,n,p,w,o,p,k,y,p
e,b,w,g,p,w,o,p,n,n,g
e,x,y,n,p,w,o,p,k,n,m
e,x,y,w,p,w,o,p,n,y,g
e,b,w,n,p,w,o,p,k,s,m
e,b,w,g,p,w,o,p,n,s,m
e,x,y,k,p,w,o,p,k,n,m
e,x,y,w,p,w,o,p,k,n,g
e,s,g,g,p,w,o,p,k,y,u
e,x,w,w,p,w,o,p,u,v,d
e,x,y,n,p,w,o,p,k,n,m
p,x,w,n,p,w,o,p,n,v,u
e,x,y,p,p,w,o,p,n,s,g
e,s,g,p,p,w,o,p,n,y,u
e,x,y,w,p,w,o,p,k,y,g
e,x,y,p,p,w,o,p,u,v,d
e,s,n,k,p,w,o,p,n,y,u
p,x,w,k,p,w,o,p,k,v,g
e,x,w,g,p,w,o,p,n,n,m
p,f,n,p,p,w,o,p,k,v,g
e,f,g,k,p,w,o,e,n,a,g
e,x,y,g,p,w,o,p,n,s,m
e,x,w,n,p,w,o,e,k,s,g
e,b,y,w,p,w,o,p,n,n,g
e,f,g,h,p,w,o,e,n,a,g
e,x,w,n,p,w,o,p,k,n,g
e,b,w,n,p,w,o,p,n,s,m
e,b,w,w,p,w,o,p,n,s,g
e,b,w,w,p,w,o,p,n,s,m
e,f,w,w,p,w,o,p,u,v,d
e,x,y,g,p,w,o,p,k,s,m
e,f,w,p,p,w,o,p,n,v,d
p,x,w,w,p,w,o,p,n,v,u
e,f,w,w,p,w,o,p,n,v,d
e,x,y,n,p,w,o,p,n,s,g
p,x,n,p,p,w,o,p,n,v,g
e,b,y,w,p,w,o,p,n,n,g
e,x,n,w,p,w,o,p,k,y,p
e,b,y,g,p,w,o,p,k,n,m
e,s,n,k,p,w,o,p,n,v,u
e,f,n,w,p,w,o,p,k,y,p
e,x,y,k,p,w,o,p,k,n,g
e,x,g,k,p,w,o,e,k,s,g
e,f,w,k,p,w,o,e,n,a,g
e,x,y,w,p,w,o,p,n,n,m
e,b,y,k,p,w,o,p,k,n,g
e,b,w,g,p,w,o,p,k,n,m
e,x,w,w,p,w,o,p,n,s,g
e,x,n,p,p,w,o,e,n,a,g
e,x,w,g,p,w,o,p,n,s,g
e,s,n,k,p,w,o,p,k,v,u
e,x,w,w,p,w,o,p,u,v,d
e,x,n,w,p,w,o,p,k,s,g
e,b,y,k,p,w,o,p,n,n,g
e,x,w,k,p,w,o,p,n,n,g
e,b,w,n,p,w,o,p,k,s,m
e,b,y,g,p,w,o,p,k,s,g
e,b,y,g,p,w,o,p,k,s,m
e,b,y,n,p,w,o,p,k,n,g
e,x,n,k,p,w,o,p,n,y,u
e,f,n,n,p,w,o,p,n,y,g
e,x,w,k,p,w,o,p,n,s,g
e,f,y,w,p,w,o,p,n,y,p
e,b,w,w,p,w,o,p,n,s,g
e,b,w,w,p,w,o,p,k,s,m
e,x,n,w,p,w,o,p,k,y,g
e,b,w,k,p,w,o,p,k,s,g
e,x,g,g,p,w,o,p,n,y,u
e,b,y,k,p,w,o,p,n,s,g
e,x,y,n,p,w,o,p,u,v,d
e,b,y,w,p,w,o,p,k,s,g
e,f,y,p,p,w,o,p,n,s,g
e,b,w,w,p,w,o,p,k,n,m
e,b,w,k,p,w,o,p,k,n,m
e,b,y,g,p,w,o,p,n,s,g
e,x,y,g,p,w,o,p,n,n,m
e,b,y,g,p,w,o,p,n,n,g
p,x,w,p,p,w,o,p,n,v,u
e,s,n,g,p,w,o,p,n,y,u
e,f,n,g,p,w,o,p,k,v,u
e,x,y,g,p,w,o,p,n,s,m
e,f,n,p,p,w,o,p,k,s,p
p,x,w,k,p,w,o,p,k,s,g
e,b,w,g,p,w,o,p,n,s,m
e,f,g,p,p,w,o,p,k,v,u
e,b,y,g,p,w,o,p,n,n,g
e,x,n,w,p,w,o,p,n,y,p
e,x,w,p,p,w,o,e,k,s,g
e,x,w,w,p,w,o,p,n,v,d
e,b,w,w,p,w,o,p,n,s,m
e,f,y,w,p,w,o,p,n,v,d
e,x,y,k,p,w,o,p,n,n,m
e,f,g,g,p,w,o,p,n,y,u
e,b,y,n,p,w,o,p,k,s,g
e,x,w,g,p,w,o,p,n,n,m
e,x,w,n,p,w,o,p,n,s,m
e,f,w,n,p,w,o,p,n,v,d
e,x,y,w,p,w,o,p,n,s,g
e,b,w,w,p,w,o,p,k,s,g
e,x,w,g,p,w,o,p,k,n,g
e,x,w,h,p,w,o,e,k,s,g
e,f,n,n,p,w,o,p,k,y,p
p,x,w,k,p,w,o,p,n,v,u
e,b,w,n,p,w,o,p,n,n,g
e,b,w,k,p,w,o,p,k,s,m
e,b,w,n,p,w,o,p,n,n,g
e,b,w,w,p,w,o,p,k,n,g
e,x,y,w,p,w,o,p,k,s,g
e,b,w,w,p,w,o,p,k,n,m
e,x,y,n,p,w,o,p,n,v,d
e,x,g,n,p,w,o,p,n,y,u
e,f,y,n,p,w,o,p,n,s,g
e,b,w,n,p,w,o,p,k,n,m
e,x,y,g,p,w,o,p,k,s,g
e,x,y,k,p,w,o,p,k,s,g
e,x,w,w,p,w,o,p,n,s,g
e,s,g,p,p,w,o,p,n,v,u
e,x,w,n,p,w,o,p,n,n,m
p,x,w,k,p,w,o,p,k,s,g
e,x,y,n,p,w,o,p,n,s,g
e,f,w,p,p,w,o,p,n,v,d
e,x,w,g,p,w,o,p,k,n,m
e,b,w,n,p,w,o,p,k,s,g
e,x,w,g,p,w,o,p,n,n,g
e,x,y,g,p,w,o,p,n,s,g
p,x,n,p,p,w,o,p,k,v,u
e,b,y,n,p,w,o,p,n,n,g
e,x,g,n,p,w,o,p,k,y,u
p,x,w,k,p,w,o,p,k,s,u
e,x,y,n,p,w,o,p,n,y,p
e,f,n,k,p,w,o,p,k,v,u
e,b,w,k,p,w,o,p,n,n,g
e,x,w,w,p,w,o,p,n,v,d
e,x,w,w,p,w,o,p,k,s,g
e,b,y,n,p,w,o,p,n,s,g
e,x,y,n,p,w,o,p,k,s,g
e,f,y,p,p,w,o,p,k,s,p
e,f,y,w,p,w,o,p,k,y,p
e,x,w,w,p,w,o,p,k,s,g
e,x,w,w,p,w,o,p,n,n,m
p,x,w,n,p,w,o,p,k,v,u
e,f,w,p,p,w,o,p,u,v,d
e,x,w,w,p,w,o,p,n,s,g
e,x,w,p,p,w,o,p,u,v,d
e,x,w,n,p,w,o,p,k,s,m
e,f,y,w,p,w,o,p,k,y,p
e,x,n,p,p,w,o,e,k,s,g
e,f,y,w,p,w,o,p,n,y,g
p,x,n,p,p,w,o,p,n,s,g
e,s,n,g,p,w,o,p,n,v,u
e,b,y,w,p,w,o,p,n,s,m
e,b,w,n,p,w,o,p,n,s,g
e,b,w,k,p,w,o,p,n,n,m
e,f,n,k,p,w,o,p,n,v,u
e,x,w,w,p,w,o,p,k,n,m
e,b,w,g,p,w,o,p,k,n,g
e,b,w,g,p,w,o,p,n,n,m
e,f,n,w,p,w,o,p,n,s,g
p,x,w,k,p,w,o,p,k,v,g
e,x,w,n,p,w,o,p,n,n,g
e,x,w,n,p,w,o,p,n,s,m
e,f,w,w,p,w,o,p,u,v,d
e,f,g,g,p,w,o,p,k,v,u
e,f,g,p,p,w,o,e,k,a,g
e,x,y,g,p,w,o,p,n,s,m
e,b,w,k,p,w,o,p,n,s,m
p,f,n,w,p,w,o,p,k,s,u
e,x,w,n,p,w,o,p,k,n,m
p,f,n,w,p,w,o,p,k,v,u
e,x,w,k,p,w,o,p,n,s,g
e,x,y,k,p,w,o,p,n,n,m
e,f,y,n,p,w,o,p,n,s,p
e,x,n,w,p,w,o,p,n,s,p
e,f,n,w,p,w,o,p,n,y,g
e,x,w,w,p,w,o,p,n,n,m
e,f,n,h,p,w,o,e,k,s,g
e,x,y,k,p,w,o,p,n,n,m
p,x,w,w,p,w,o,p,n,s,g
e,b,y,n,p,w,o,p,n,n,m
e,s,n,p,p,w,o,p,n,v,u
e,x,y,k,p,w,o,p,k,s,m
e,b,w,n,p,w,o,p,k,n,m
e,f,n,n,p,w,o,p,k,s,g
e,b,y,g,p,w,o,p,k,s,m
e,b,w,g,p,w,o,p,k,s,g
e,x,n,n,p,w,o,p,n,y,p
e,f,g,p,p,w,o,p,n,y,u
e,x,g,g,p,w,o,p,k,y,u
e,b,y,n,p,w,o,p,k,s,g
e,x,y,n,p,w,o,p,k,s,m
e,b,w,k,p,w,o,p,n,s,g
e,x,w,g,p,w,o,p,k,s,m
e,b,y,g,p,w,o,p,n,n,m
e,x,y,k,p,w,o,p,k,s,m
e,x,g,p,p,w,o,e,k,s,g
e,f,y,p,p,w,o,p,n,v,d
p,x,w,p,p,w,o,p,k,s,g
e,x,w,k,p,w,o,e,k,a,g
e,b,w,w,p,w,o,p,k,s,g
e,x,y,w,p,w,o,p,n,v,d
e,b,w,n,p,w,o,p,k,s,g
e,x,w,g,p,w,o,p,k,s,g
e,x,n,p,p,w,o,p,n,y,d
e,b,w,k,p,w,o,p,n,s,m
e,x,y,g,p,w,o,p,n,n,m
e,f,n,p,p,w,o,p,k,y,g
e,x,w,n,p,w,o,e,n,s,g
e,x,y,w,p,w,o,p,k,s,g
p,x,w,n,p,w,o,p,n,v,g
e,x,y,n,p,w,o,p,k,s,g
e,x,w,p,p,w,o,p,n,v,d
e,b,y,g,p,w,o,p,n,n,g
p,x,w,k,p,w,o,p,k,v,u
e,x,y,w,p,w,o,p,n,v,d
e,x,w,k,p,w,o,p,k,n,m
e,x,w,n,p,w,o,p,n,v,d
e,f,w,w,p,w,o,p,n,v,d
e,x,y,k,p,w,o,p,n,s,m
e,f,y,w,p,w,o,p,u,v,d
e,x,w,w,p,w,o,p,k,s,g
e,b,y,n,p,w,o,p,k,s,m
e,x,n,p,p,w,o,p,n,s,p
e,b,w,k,p,w,o,p,k,n,g
e,x,y,n,p,w,o,p,n,s,m
p,x,n,n,p,w,o,p,n,v,u
e,b,y,w,p,w,o,p,k,n,g
e,b,w,g,p,w,o,p,k,n,g
p,x,n,w,p,w,o,p,k,v,u
e,b,w,n,p,w,o,p,k,s,m
e,b,y,w,p,w,o,p,n,n,m
e,b,y,n,p,w,o,p,k,s,g
e,x,w,g,p,w,o,p,n,n,g
e,x,n,p,p,w,o,p,k,y,d
e,x,n,w,p,w,o,p,k,y,g
e,b,y,n,p,w,o,p,n,s,g
e,x,g,g,p,w,o,p,n,v,u
e,x,n,n,p,w,o,p,k,y,g
e,x,w,k,p,w,o,p,n,s,g
e,b,w,n,p,w,o,p,k,n,g
e,x,y,g,p,w,o,p,k,s,m
e,f,y,p,p,w,o,p,n,v,d
e,b,y,g,p,w,o,p,n,s,g
e,x,n,n,p,w,o,e,n,a,g
e,x,y,n,p,w,o,p,n,v,d
e,x,y,n,p,w,o,p,n,n,m
e,f,g,n,p,w,o,e,k,s,g
e,x,n,g,p,w,o,p,n,y,u
e,f,g,h,p,w,o,e,n,a,g
e,f,n,p,p,w,o,p,n,s,p
e,b,w,k,p,w,o,p,n,s,g
e,b,y,k,p,w,o,p,k,s,m
e,x,y,w,p,w,o,p,k,s,p
e,s,g,g,p,w,o,p,n,v,u
e,f,n,p,p,w,o,p,n,y,p
p,x,n,k,p,w,o,p,k,s,u
e,x,y,p,p,w,o,p,n,y,p
e,x,y,w,p,w,o,p,n,s,g
e,x,n,h,p,w,o,e,n,s,g
e,x,n,p,p,w,o,e,k,a,g
e,f,n,k,p,w,o,e,k,a,g
e,f,n,n,p,w,o,p,n,s,p
e,x,y,w,p,w,o,p,k,n,g
e,f,n,p,p,w,o,p,k,v,u
e,x,y,w,p,w,o,p,n,s,p
e,x,y,p,p,w,o,p,u,v,d
e,b,y,g,p,w,o,p,n,n,g
e,x,g,n,p,w,o,e,k,s,g
e,x,y,w,p,w,o,p,n,s,g
e,f,n,n,p,w,o,p,k,y,g
e,x,y,w,p,w,o,p,k,s,m
e,s,n,n,p,w,o,p,n,y,u
e,x,w,k,p,w,o,p,k,s,m
e,b,w,n,p,w,o,p,k,n,g
e,s,n,k,p,w,o,p,k,y,u
e,b,y,n,p,w,o,p,n,n,m
e,x,y,k,p,w,o,p,n,n,g
e,b,y,k,p,w,o,p,n,s,g
p,x,n,p,p,w,o,p,k,s,u
e,x,w,k,p,w,o,e,n,s,g
e,x,w,w,p,w,o,p,k,s,m
e,b,w,g,p,w,o,p,n,n,g
e,x,n,n,p,w,o,p,n,y,d
p,x,n,w,p,w,o,p,n,s,u
e,x,n,w,p,w,o,p,k,y,p
e,x,n,n,p,w,o,e,k,a,g
e,b,y,n,p,w,o,p,k,n,m
e,x,y,w,p,w,o,p,n,n,m
e,b,y,n,p,w,o,p,n,s,m
e,x,y,g,p,w,o,p,k,n,m
e,b,w,n,p,w,o,p,n,n,g
e,x,g,k,p,w,o,p,n,v,u
e,f,n,w,p,w,o,p,k,s,g
e,x,g,h,p,w,o,e,n,a,g
e,x,w,k,p,w,o,p,n,n,m
e,x,y,w,p,w,o,p,n,s,m
e,x,g,n,p,w,o,p,k,v,u
p,x,n,p,p,w,o,p,n,s,u
e,b,w,w,p,w,o,p,n,n,g
e,b,w,n,p,w,o,p,k,n,m
p,x,n,p,p,w,o,p,n,v,u
e,b,y,w,p,w,o,p,n,s,m
e,x,w,k,p,w,o,p,n,s,m
e,x,y,n,p,w,o,p,k,s,m
e,b,y,n,p,w,o,p,n,n,g
e,x,w,g,p,w,o,p,n,s,m
e,x,w,g,p,w,o,p,k,s,g
e,x,n,w,p,w,o,p,n,y,p
e,x,w,w,p,w,o,p,n,s,m
e,x,n,n,p,w,o,e,k,s,g
e,x,n,n,p,w,o,p,n,s,p
e,x,y,n,p,w,o,p,k,y,g
p,x,n,k,p,w,o,p,k,v,g
e,b,y,w,p,w,o,p,n,n,g
e,x,w,p,p,w,o,p,u,v,d
p,x,n,w,p,w,o,p,k,s,u
e,x,y,k,p,w,o,p,k,n,g
e,f,g,h,p,w,o,e,n,a,g
e,x,w,n,p,w,o,p,k,s,g
e,b,w,w,p,w,o,p,n,s,m
p,x,n,p,p,w,o,p,n,s,u
e,f,n,w,p,w,o,p,k,s,g
e,x,w,n,p,w,o,p,n,n,m
e,x,w,n,p,w,o,p,n,v,d
e,f,n,n,p,w,o,p,n,y,p
e,b,w,k,p,w,o,p,n,n,m
e,x,w,p,p,w,o,e,k,a,g
e,f,g,n,p,w,o,p,n,v,u
e,x,w,g,p,w,o,p,n,s,g
e,x,y,n,p,w,o,p,n,y,g
e,b,y,g,p,w,o,p,n,s,g
e,b,y,w,p,w,o,p,k,s,g
e,f,w,n,p,w,o,p,n,v,d
e,b,w,w,p,w,o,p,k,n,m
e,x,y,n,p,w,o,p,u,v,d
e,x,w,g,p,w,o,p,n,n,m
e,b,y,k,p,w,o,p,n,n,m
e,x,n,p,p,w,o,p,n,y,p
e,x,w,n,p,w,o,p,k,s,m
e,x,w,g,p,w,o,p,k,s,m
e,x,y,p,p,w,o,p,k,y,p
e,x,w,n,p,w,o,p,k,n,m
e,x,y,w,p,w,o,p,k,n,m
e,x,n,p,p,w,o,p,k,s,g
e,x,w,n,p,w,o,p,n,n,g
e,f,n,n,p,w,o,p,k,s,g
e,b,w,w,p,w,o,p,k,s,m
e,x,n,n,p,w,o,p,n,y,d
e,x,w,k,p,w,o,p,n,s,m
e,b,w,g,p,w,o,p,k,n,g
e,b,y,g,p,w,o,p,k,n,m
e,x,y,p,p,w,o,p,n,v,d
e,b,w,g,p,w,o,p,n,n,m
e,x,g,h,p,w,o,e,k,a,g
e,b,w,k,p,w,o,p,n,n,g
e,b,y,w,p,w,o,p,k,s,m
e,f,y,n,p,w,o,p,k,y,p
e,f,n,w,p,w,o,p,n,y,p
e,x,w,k,p,w,o,p,n,s,m
e,f,y,n,p,w,o,p,n,s,g
e,b,w,g,p,w,o,p,k,s,g
e,x,y,w,p,w,o,p,n,n,m
e,x,n,k,p,w,o,p,k,v,u
e,f,n,p,p,w,o,p,n,y,g
e,x,w,g,p,w,o,p,k,n,m
e,x,y,g,p,w,o,p,k,n,g
e,b,y,g,p,w,o,p,k,n,g
e,f,y,w,p,w,o,p,n,s,p
e,x,y,g,p,w,o,p,k,n,g
e,x,w,w,p,w,o,p,k,n,m
e,f,w,n,p,w,o,p,u,v,d
e,s,g,k,p,w,o,p,k,y,u
e,f,y,n,p,w,o,p,n,v,d
e,f,g,k,p,w,o,p,k,y,u
e,x,n,p,p,w,o,p,n,y,u
e,b,w,w,p,w,o,p,n,n,g
e,x,w,p,p,w,o,p,n,v,d
e,b,y,n,p,w,o,p,k,s,m
e,b,y,k,p,w,o,p,k,s,m
e,b,y,g,p,w,o,p,k,s,g
e,f,w,p,p,w,o,p,u,v,d
e,f,g,g,p,w,o,p,k,y,u
e,f,w,w,p,w,o,p,n,v,d
e,f,y,p,p,w,o,p,k,y,g
e,x,w,w,p,w,o,p,n,s,m
e,s,n,p,p,w,o,p,n,y,u
e,x,n,n,p,w,o,p,k,s,p
e,x,n,n,p,w,o,p,k,s,p
e,f,y,n,p,w,o,p,u,v,d
p,f,n,p,p,w,o,p,n,s,g
p,x,n,k,p,w,o,p,n,v,u
e,f,n,w,p,w,o,p,n,s,p
e,x,y,w,p,w,o,p,k,s,g
e,b,y,k,p,w,o,p,n,n,m
e,f,w,h,p,w,o,e,n,a,g
e,f,n,p,p,w,o,p,n,s,g
e,x,w,n,p,w,o,p,n,s,g
e,b,y,w,p,w,o,p,k,n,m
e,x,y,w,p,w,o,p,n,n,g
e,b,y,g,p,w,o,p,k,n,g
e,x,w,g,p,w,o,p,k,n,m
e,b,y,w,p,w,o,p,k,s,m
e,b,y,w,p,w,o,p,n,s,g
p,x,n,n,p,w,o,p,n,v,g
e,x,g,p,p,w,o,e,n,s,g
e,f,n,p,p,w,o,e,n,a,g
e,x,w,n,p,w,o,p,n,v,d
e,f,g,p,p,w,o,p,n,v,u
e,f,n,k,p,w,o,p,n,y,u
e,b,y,k,p,w,o,p,k,s,g
e,x,w,n,p,w,o,p,u,v,d
e,s,g,n,p,w,o,p,n,v,u
e,x,n,k,p,w,o,p,n,v,u
e,x,w,h,p,w,o,e,n,a,g
e,x,n,n,p,w,o,p,k,y,p
e,b,y,k,p,w,o,p,k,n,g
e,x,w,k,p,w,o,p,k,s,g
e,x,y,k,p,w,o,p,n,n,g
e,x,w,w,p,w,o,p,k,n,m
e,b,w,n,p,w,o,p,k,s,g
e,f,y,p,p,w,o,p,n,y,p
p,x,n,n,p,w,o,p,n,s,u
e,f,g,n,p,w,o,p,k,y,u
e,b,y,w,p,w,o,p,n,s,g
e,f,n,w,p,w,o,p,n,s,p
e,x,y,k,p,w,o,p,n,s,m
e,x,n,k,p,w,o,p,k,y,u
e,f,y,w,p,w,o,p,n,y,p
e,x,n,n,p,w,o,p,n,y,p
e,x,w,n,p,w,o,p,k,s,g
p,x,w,n,p,w,o,p,k,s,g
e,f,n,w,p,w,o,p,k,y,p
p,f,n,k,p,w,o,p,k,s,g
e,x,w,k,p,w,o,e,k,s,g
e,b,w,k,p,w,o,p,k,s,m
e,s,n,p,p,w,o,p,k,v,u
e,x,y,g,p,w,o,p,n,s,m
e,f,w,p,p,w,o,p,u,v,d
e,x,y,n,p,w,o,p,k,s,m
e,f,g,p,p,w,o,e,k,s,g
p,x,w,n,p,w,o,p,n,s,g
e,x,y,p,p,w,o,p,k,s,g
e,f,n,n,p,w,o,e,k,a,g
e,x,w,w,p,w,o,p,k,s,m
e,b,y,g,p,w,o,p,n,s,m
e,f,g,g,p,w,o,p,n,v,u
e,x,y,p,p,w,o,p,u,v,d
e,x,y,g,p,w,o,p,n,n,m
e,f,n,n,p,w,o,p,n,y,u
e,x,g,h,p,w,o,e,n,s,g
e,x,y,p,p,w,o,p,k,s,p
e,f,w,p,p,w,o,p,n,v,d
e,x,y,k,p,w,o,p,k,s,g
e,f,y,p,p,w,o,p,k,y,p
p,x,n,k,p,w,o,p,k,v,u
e,x,w,w,p,w,o,p,u,v,d
e,x,w,w,p,w,o,p,k,n,g
e,x,y,g,p,w,o,p,n,n,m
e,b,y,g,p,w,o,p,n,s,g
e,x,y,w,p,w,o,p,u,v,d
e,x,y,n,p,w,o,p,u,v,d
e,x,w,n,p,w,o,e,k,s,g
e,b,w,w,p,w,o,p,n,s,m
p,x,w,w,p,w,o,p,k,v,g
e,x,y,g,p,w,o,p,n,n,g
e,f,g,k,p,w,o,e,k,s,g
p,x,n,n,p,w,o,p,n,s,g
e,b,w,w,p,w,o,p,k,n,m
e,x,w,k,p,w,o,p,k,n,m
e,f,y,n,p,w,o,p,n,v,d
e,x,y,k,p,w,o,p,k,n,g
e,b,w,w,p,w,o,p,k,n,g
e,x,n,w,p,w,o,p,n,y,g
e,x,y,w,p,w,o,p,n,s,g
e,x,n,p,p,w,o,p,n,v,u
e,x,y,n,p,w,o,p,n,s,g
e,x,y,w,p,w,o,p,n,y,g
p,x,n,w,p,w,o,p,n,s,g
e,x,w,g,p,w,o,p,n,n,m
e,x,y,w,p,w,o,p,n,s,m
e,x,w,k,p,w,o,p,k,n,g
e,x,y,n,p,w,o,p,n,y,g
e,f,y,w,p,w,o,p,k,s,g
e,x,w,k,p,w,o,p,n,s,m
e,s,g,g,p,w,o,p,k,v,u
e,f,n,n,p,w,o,p,k,y,u
e,s,g,n,p,w,o,p,k,v,u
e,x,w,n,p,w,o,p,k,n,m
p,x,w,k,p,w,o,p,k,s,u
e,x,g,h,p,w,o,e,k,s,g
e,x,y,g,p,w,o,p,k,s,g
p,x,w,k,p,w,o,p,n,s,g
e,x,y,g,p,w,o,p,k,n,m
p,x,n,p,p,w,o,p,k,v,u
e,b,y,n,p,w,o,p,k,n,m
e,b,w,g,p,w,o,p,k,s,m
p,x,w,p,p,w,o,p,n,s,g
p,x,n,n,p,w,o,p,k,s,u
e,x,g,n,p,w,o,e,n,a,g
e,x,n,w,p,w,o,p,n,y,g
e,f,w,k,p,w,o,e,n,a,g
e,f,n,n,p,w,o,p,n,s,p
e,b,w,w,p,w,o,p,k,s,m
e,b,w,n,p,w,o,p,k,n,g
e,x,g,n,p,w,o,e,n,s,g
e,f,n,n,p,w,o,p,k,y,g
e,x,w,w,p,w,o,p,k,s,m
e,f,g,n,p,w,o,p,k,v,u
e,f,n,h,p,w,o,e,n,a,g
e,x,g,n,p,w,o,e,n,s,g
e,f,w,p,p,w,o,e,k,a,g
p,x,w,k,p,w,o,p,n,s,u
e,x,y,p,p,w,o,p,k,s,g
e,b,w,g,p,w,o,p,k,s,g
e,f,g,p,p,w,o,e,k,a,g
e,b,w,g,p,w,o,p,k,s,g
e,b,y,n,p,w,o,p,n,n,m
e,s,g,n,p,w,o,p,n,y,u
e,f,y,p,p,w,o,p,k,s,g
e,b,w,w,p,w,o,p,n,n,g
e,x,w,n,p,w,o,p,u,v,d
e,f,y,n,p,w,o,p,k,s,p
e,f,g,p,p,w,o,p,k,y,u
e,x,w,g,p,w,o,p,k,s,m
e,f,y,w,p,w,o,p,u,v,d
e,s,g,p,p,w,o,p,k,y,u
e,b,w,g,p,w,o,p,n,s,g
e,b,w,k,p,w,o,p,k,n,g
e,f,n,n,p,w,o,e,n,s,g
