,Dominant Topic,Keywords,Number of Documents,(Doc) Percentage
205,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
206,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
207,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
208,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
209,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
210,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
211,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
212,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
213,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
214,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
215,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
216,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
217,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
218,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
219,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
220,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
221,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
222,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
223,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
224,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
225,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
226,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
227,6.0,"team, game, play, player, line, season, point, goal, win, year",,
228,9.0,"make, work, government, money, year, pay, job, support, people, time",,
229,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
230,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
231,23.0,"time, find, point, problem, book, give, work, call, line, read",,
232,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
233,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
234,9.0,"make, work, government, money, year, pay, job, support, people, time",,
235,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
236,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
237,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
238,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
239,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
240,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
241,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
242,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
243,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
244,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
245,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
246,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
247,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
248,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
249,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
250,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
251,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
252,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
253,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
254,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
255,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
256,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
257,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
258,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
259,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
260,3.0,"state, israeli, people, write, give, land, country, live, question, peace",,
261,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
262,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
263,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
264,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
265,3.0,"state, israeli, people, write, give, land, country, live, question, peace",,
266,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
267,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
268,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
269,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
270,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
271,3.0,"state, israeli, people, write, give, land, country, live, question, peace",,
272,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
273,6.0,"team, game, play, player, line, season, point, goal, win, year",,
274,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
275,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
276,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
277,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
278,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
279,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
280,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
281,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
282,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
283,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
284,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
285,6.0,"team, game, play, player, line, season, point, goal, win, year",,
286,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
287,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
288,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
289,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
290,9.0,"make, work, government, money, year, pay, job, support, people, time",,
291,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
292,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
293,24.0,"file, line, program, read, copy, change, entry, number, write, follow",,
294,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
295,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
296,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
297,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
298,23.0,"time, find, point, problem, book, give, work, call, line, read",,
299,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
300,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
301,6.0,"team, game, play, player, line, season, point, goal, win, year",,
302,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
303,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
304,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
305,15.0,"armenian, people, turkish, history, kill, government, war, world, force, german",,
306,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
307,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
308,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
309,8.0,"ax, line, host, nntp_posting, reply, _, part, keyword, computer_science, ad",,
310,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
311,3.0,"state, israeli, people, write, give, land, country, live, question, peace",,
312,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
313,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
314,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
315,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
316,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
317,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
318,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
319,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
320,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
321,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
322,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
323,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
324,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
325,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
326,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
327,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
328,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
329,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
330,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
331,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
332,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
333,9.0,"make, work, government, money, year, pay, job, support, people, time",,
334,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
335,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
336,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
337,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
338,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
339,3.0,"state, israeli, people, write, give, land, country, live, question, peace",,
340,9.0,"make, work, government, money, year, pay, job, support, people, time",,
341,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
342,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
343,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
344,6.0,"team, game, play, player, line, season, point, goal, win, year",,
345,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
346,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
347,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
348,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
349,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
350,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
351,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
352,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
353,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
354,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
355,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
356,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
357,8.0,"ax, line, host, nntp_posting, reply, _, part, keyword, computer_science, ad",,
358,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
359,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
360,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
361,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
362,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
363,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
364,5.0,"high, large, number, low, rate, level, small, report, difference, water",,
365,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
366,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
367,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
368,15.0,"armenian, people, turkish, history, kill, government, war, world, force, german",,
369,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
370,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
371,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
372,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
373,6.0,"team, game, play, player, line, season, point, goal, win, year",,
374,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
375,24.0,"file, line, program, read, copy, change, entry, number, write, follow",,
376,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
377,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
378,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
379,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
380,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
381,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
382,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
383,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
384,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
385,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
386,23.0,"time, find, point, problem, book, give, work, call, line, read",,
387,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
388,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
389,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
390,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
391,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
392,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
393,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
394,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
395,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
396,6.0,"team, game, play, player, line, season, point, goal, win, year",,
397,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
398,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
399,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
400,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
401,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
