,Dominant Topic,Keywords,Number of Documents,(Doc) Percentage
30,16.0,"high, water, food, eat, report, increase, time, day, low, make",584.0,0.0516
31,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",302.0,0.0267
32,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
33,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
34,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
35,10.0,"people, life, man, child, make, love, time, die, live, woman",,
36,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
37,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
38,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
39,24.0,"game, team, play, year, player, win, season, fan, run, score",,
40,24.0,"game, team, play, year, player, win, season, fan, run, score",,
41,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
42,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
43,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
44,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
45,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
46,7.0,"window, application, set, run, server, display, call, widget, program, client",,
47,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
48,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
49,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
50,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
51,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
52,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
53,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
54,27.0,"work, make, job, people, time, talk, today, year, question, president",,
55,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
56,24.0,"game, team, play, year, player, win, season, fan, run, score",,
57,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
58,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
59,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
60,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
61,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
62,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
63,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
64,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
65,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
66,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
67,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
68,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
69,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
70,10.0,"people, life, man, child, make, love, time, die, live, woman",,
71,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
72,24.0,"game, team, play, year, player, win, season, fan, run, score",,
73,10.0,"people, life, man, child, make, love, time, die, live, woman",,
74,7.0,"window, application, set, run, server, display, call, widget, program, client",,
75,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
76,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
77,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
78,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
79,7.0,"window, application, set, run, server, display, call, widget, program, client",,
80,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
81,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
82,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
83,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
84,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
85,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
86,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
87,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
88,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
89,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
90,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
91,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
92,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
93,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
94,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
95,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
96,24.0,"game, team, play, year, player, win, season, fan, run, score",,
97,21.0,"time, point, find, problem, number, change, give, call, work, start",,
98,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
99,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
100,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
101,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
102,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
103,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
104,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
105,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
106,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
107,24.0,"game, team, play, year, player, win, season, fan, run, score",,
108,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
109,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
110,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
111,7.0,"window, application, set, run, server, display, call, widget, program, client",,
112,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
113,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
114,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
115,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
116,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
117,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
118,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
119,7.0,"window, application, set, run, server, display, call, widget, program, client",,
120,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
121,24.0,"game, team, play, year, player, win, season, fan, run, score",,
122,10.0,"people, life, man, child, make, love, time, die, live, woman",,
123,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
124,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
125,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
126,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
127,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
128,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
129,7.0,"window, application, set, run, server, display, call, widget, program, client",,
130,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
131,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
132,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
133,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
134,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
135,24.0,"game, team, play, year, player, win, season, fan, run, score",,
136,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
137,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
138,24.0,"game, team, play, year, player, win, season, fan, run, score",,
139,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
140,7.0,"window, application, set, run, server, display, call, widget, program, client",,
141,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
142,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
143,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
144,10.0,"people, life, man, child, make, love, time, die, live, woman",,
145,24.0,"game, team, play, year, player, win, season, fan, run, score",,
146,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
147,7.0,"window, application, set, run, server, display, call, widget, program, client",,
148,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
149,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
150,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
151,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
152,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
153,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
154,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
155,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
156,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
157,24.0,"game, team, play, year, player, win, season, fan, run, score",,
158,7.0,"window, application, set, run, server, display, call, widget, program, client",,
159,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
160,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
161,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
162,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
163,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
164,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
165,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
166,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
167,24.0,"game, team, play, year, player, win, season, fan, run, score",,
168,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
169,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
170,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
171,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
172,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
173,7.0,"window, application, set, run, server, display, call, widget, program, client",,
174,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
175,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
176,24.0,"game, team, play, year, player, win, season, fan, run, score",,
177,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
178,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
179,7.0,"window, application, set, run, server, display, call, widget, program, client",,
180,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
181,27.0,"work, make, job, people, time, talk, today, year, question, president",,
182,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
183,24.0,"game, team, play, year, player, win, season, fan, run, score",,
184,24.0,"game, team, play, year, player, win, season, fan, run, score",,
185,24.0,"game, team, play, year, player, win, season, fan, run, score",,
186,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
187,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
188,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
189,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
190,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
191,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
192,7.0,"window, application, set, run, server, display, call, widget, program, client",,
193,24.0,"game, team, play, year, player, win, season, fan, run, score",,
194,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
195,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
196,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
197,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
198,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
199,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
200,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
201,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
202,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
203,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
204,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
205,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
206,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
207,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
208,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
209,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
210,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
211,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
212,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
213,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
214,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
215,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
216,7.0,"window, application, set, run, server, display, call, widget, program, client",,
217,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
218,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
219,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
220,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
221,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
222,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
223,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
224,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
225,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
226,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
227,24.0,"game, team, play, year, player, win, season, fan, run, score",,
228,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
229,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
230,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
231,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
232,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
233,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
234,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
235,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
236,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
237,10.0,"people, life, man, child, make, love, time, die, live, woman",,
238,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
239,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
240,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
241,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
242,24.0,"game, team, play, year, player, win, season, fan, run, score",,
243,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
244,7.0,"window, application, set, run, server, display, call, widget, program, client",,
245,7.0,"window, application, set, run, server, display, call, widget, program, client",,
246,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
247,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
248,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
249,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
250,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
251,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
252,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
253,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
254,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
255,21.0,"time, point, find, problem, number, change, give, call, work, start",,
256,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
257,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
258,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
259,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
260,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
261,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
262,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
263,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
264,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
265,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
266,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
267,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
268,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
269,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
270,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
271,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
272,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
273,24.0,"game, team, play, year, player, win, season, fan, run, score",,
274,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
275,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
276,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
277,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
278,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
279,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
280,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
281,10.0,"people, life, man, child, make, love, time, die, live, woman",,
282,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
283,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
284,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
285,24.0,"game, team, play, year, player, win, season, fan, run, score",,
286,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
287,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
288,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
289,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
290,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
291,7.0,"window, application, set, run, server, display, call, widget, program, client",,
292,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
293,11.0,"file, line, program, entry, number, build, read, info, follow, return",,
294,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
295,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
296,7.0,"window, application, set, run, server, display, call, widget, program, client",,
297,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
298,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
299,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
300,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
301,24.0,"game, team, play, year, player, win, season, fan, run, score",,
302,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
303,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
304,27.0,"work, make, job, people, time, talk, today, year, question, president",,
305,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
306,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
307,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
308,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
309,19.0,"ax, line, _, part, ad, end, ei, tq, cut, pl_pl",,
310,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
311,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
312,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
313,7.0,"window, application, set, run, server, display, call, widget, program, client",,
314,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
315,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
316,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
317,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
318,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
319,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
320,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
321,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
322,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
323,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
324,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
325,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
326,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
327,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
328,24.0,"game, team, play, year, player, win, season, fan, run, score",,
329,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
330,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
331,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
332,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
333,27.0,"work, make, job, people, time, talk, today, year, question, president",,
334,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
335,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
336,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
337,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
338,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
339,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
340,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
341,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
342,7.0,"window, application, set, run, server, display, call, widget, program, client",,
343,7.0,"window, application, set, run, server, display, call, widget, program, client",,
344,24.0,"game, team, play, year, player, win, season, fan, run, score",,
345,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
346,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
347,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
348,27.0,"work, make, job, people, time, talk, today, year, question, president",,
349,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
350,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
351,7.0,"window, application, set, run, server, display, call, widget, program, client",,
352,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
353,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
354,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
355,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
356,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
357,24.0,"game, team, play, year, player, win, season, fan, run, score",,
358,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
359,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
360,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
361,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
362,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
363,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
364,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
365,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
366,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
367,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
368,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
369,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
370,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
371,21.0,"time, point, find, problem, number, change, give, call, work, start",,
372,24.0,"game, team, play, year, player, win, season, fan, run, score",,
373,24.0,"game, team, play, year, player, win, season, fan, run, score",,
374,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
375,7.0,"window, application, set, run, server, display, call, widget, program, client",,
376,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
377,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
378,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
379,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
380,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
381,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
382,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
383,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
384,21.0,"time, point, find, problem, number, change, give, call, work, start",,
385,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
386,21.0,"time, point, find, problem, number, change, give, call, work, start",,
387,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
388,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
389,10.0,"people, life, man, child, make, love, time, die, live, woman",,
390,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
391,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
392,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
393,24.0,"game, team, play, year, player, win, season, fan, run, score",,
394,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
395,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
396,24.0,"game, team, play, year, player, win, season, fan, run, score",,
397,24.0,"game, team, play, year, player, win, season, fan, run, score",,
